****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
 ***** 635691684风   在 群976813092 说了 机器人炸了我也不想管了。
****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
****在954475045发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在952792192发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在976813092发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在1005680380发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在863714537发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在954475045发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在952792192发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在976813092发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在1005680380发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在863714537发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
 ***** 1413445748岛起雾♡   在 群976813092 说了 [CQ:reply,id=371920724][CQ:at,qq=2393097484] [CQ:at,qq=2393097484] [CQ:face,id=306][CQ:face,id=306]，我更想玩你了
****在954475045发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在952792192发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在976813092发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在1005680380发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在863714537发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在954475045发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在952792192发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在976813092发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在1005680380发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在863714537发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
----向635691684发送2429903694   0
----向635691684发送850419987   25
----向635691684发送1776519028   0
----向635691684发送621123600   0
----向635691684发送317803349   51
----向635691684发送1184732187   37
----向635691684发送2703401354   5
----向635691684发送354624803   52
----向635691684发送2718417985   48
----向635691684发送2417233422   0
----向635691684发送1259409073   0
****在954475045发送问答已经结束，前三名的同学，风铃会去主动私聊。。。呜呜，因为没空写榜单了！要查榜单可以私信风铃！谢谢大家的参与！
****在952792192发送问答已经结束，前三名的同学，风铃会去主动私聊。。。呜呜，因为没空写榜单了！要查榜单可以私信风铃！谢谢大家的参与！
****在976813092发送问答已经结束，前三名的同学，风铃会去主动私聊。。。呜呜，因为没空写榜单了！要查榜单可以私信风铃！谢谢大家的参与！
****在1005680380发送问答已经结束，前三名的同学，风铃会去主动私聊。。。呜呜，因为没空写榜单了！要查榜单可以私信风铃！谢谢大家的参与！
****在863714537发送问答已经结束，前三名的同学，风铃会去主动私聊。。。呜呜，因为没空写榜单了！要查榜单可以私信风铃！谢谢大家的参与！
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在952792192发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在976813092发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在1005680380发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在863714537发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
****在954475045发送如果有想要风铃EGO图片的可以私聊风铃，风铃会发给你的...
